fly_name,type,species,materials,tutorials
Sparkle Minnow (olive/gold) #4,Streamer,trout;smallmouth,hook: streamer #4 3xl; thread: 140d olive; tail: marabou olive; body: polar chenille; wing: marabou + flash; eyes: dumbbell gold,https://www.montanaangler.com/montana-fly-fishing-blog/how-tie-sparkle-minnow
Sculpzilla (olive) #4,Streamer,trout,hook: streamer #4 3xl; cone: conehead sculpin helmet; thread: 140d olive; tail: olive rabbit strip; body: olive rabbit strip; collar: olive schlappen,https://flyfishfood.com/blogs/recipes/sculpzilla
Complex Twist Bugger (black) #6,Streamer,trout;bass,hook: streamer #6 3xl; bead: conehead black 5.0mm; thread: 140d black; tail: black marabou; body: black chenille (complex twist); hackle: saddle black,https://flyfishfood.com/blogs/recipes/complex-twist-bugger
Sculpin Helmet Bugger (olive) #4,Streamer,trout,hook: streamer #4; head: sculpin helmet olive; thread: 140d olive; tail: olive rabbit strip; body: olive chenille,https://flyfishfood.com/blogs/recipes/sculpin-helmet-bugger
Balanced Leech (black) #10,Streamer/Stillwater,trout,hook: jig #10; bead: slotted tungsten 4.0mm silver (front on pin); thread: 140d black; tail: black rabbit strip; body: black chenille; collar: black schlappen,https://philrowleyflyfishing.com/balanced-leech-fly-pattern/
Ice Cream Cone Chironomid (black) #16,Nymph/Stillwater,trout,hook: midge #16; bead: silver 2.0mm; thread: 8/0 black; body: black thread; rib: silver wire; gills: white poly yarn,https://www.ginkandgasoline.com/fly-tying/how-to-tie-the-ice-cream-cone-chronomid/
Red-Butt Chironomid #16,Nymph/Stillwater,trout,hook: midge #16; bead: silver 2.0mm; thread: 8/0 black; body: black thread; rib: silver wire; tag: red floss; gills: white poly yarn,https://www.ginkandgasoline.com/fly-tying/how-to-tie-the-ice-cream-cone-chronomid/
Callibaetis Nymph #14,Nymph/Stillwater,trout,hook: nymph #14; thread: 8/0 olive; tail: pheasant tail fibers; body: olive dubbing; rib: fine gold wire; wingcase: pheasant tail fibers; legs: partridge,https://charliesflybox.com/learn-to-fly-fish/fly-tying/callibaetis-nymph/
Carp Hybrid (brown) #8,Nymph,carp,hook: jig #8; bead: slotted tungsten 4.0mm gold; thread: 140d brown; tail: brown marabou; body: hare's ear dubbing; rib: copper wire; legs: rubber legs brown,https://www.carolinasportsman.com/field-reports/boats-atvs/accessories/how-to-tie-the-hybrid-carp-fly/
Carp Crack #8,Nymph,carp,hook: scud #8; thread: 140d brown; body: brown dubbing; shellback: thin skin brown; rib: copper wire; legs: rubber legs brown; eyes: bead chain eyes,https://toshbrown.com/blogs/journal/how-to-tie-the-carp-crack
Cap Spider (black) #8,Topwater,panfish;crappie,hook: popper #8; thread: 140d black; body: black chenille; legs: rubber legs black; tail: black marabou,https://www.panfishonthefly.com/blogs/news/cap-spider-fly-tying-instructions
Foam Spider (chartreuse) #12,Topwater,panfish,hook: dry #12; thread: 8/0 black; body: foam popper body chartreuse; legs: rubber legs (chartreuse); indicator: foam white,https://www.netknots.com/fly-fishing/flies/foam-spider
Sneaky Pete Popper #2,Topwater,bass,hook: streamer #2; thread: 140d chartreuse; body: foam popper body chartreuse; tail: chartreuse bucktail; legs: rubber legs chartreuse,https://www.montanafly.com/blogs/news/how-to-tie-the-sneaky-pete
Green Butt Skunk #6,Wet/Steelhead,steelhead,hook: streamer #6 3xl; thread: 6/0 black; tail: red hackle fibers; body: black chenille; butt: green floss; rib: silver tinsel; wing: white calf tail; hackle: black,https://themissionflymag.com/2017/03/28/how-to-tie-the-green-butt-skunk/
Comet (orange) #6,Wet/Steelhead,steelhead,hook: streamer #6 3xl; thread: 6/0 orange; tail: orange hackle fibers; body: orange chenille; rib: gold tinsel; wing: white calf tail; eyes: bead chain eyes,https://themissionflymag.com/2017/06/06/how-to-tie-a-comet/
MOAL Leech (black) #2,Streamer,steelhead,shank: intruder; hook: octopus #2; thread: 140d black; tail: black rabbit strip; body: polar chenille black; collar: black marabou,https://deneki.com/2017/01/tying-the-moal-leech/
Popsicle (purple/pink) #2,Streamer,salmon;steelhead,hook: streamer #2 3xl; thread: 140d black; tail: pink marabou; body: purple marabou; collar: blue schlappen,https://www.jaynicholasflyfishing.com/2013/11/03/tying-the-popsicle/
Kwan (tan) #2,Streamer,saltwater;redfish;bonefish,hook: saltwater #2; thread: 140d tan; body: tan craft fur; legs: silicone legs tan; eyes: bead chain eyes; wing: tan craft fur,https://howtoflyfish.orvis.com/flies/redfish-kwan/
Schminnow (white) #4,Streamer,saltwater;snook;seatrout,hook: saltwater #4; thread: 140d white; tail: white marabou; body: pearl estaz; wing: white craft fur,https://howtoflyfish.orvis.com/flies/how-to-tie-the-schminnow/
Flexo Crab (tan) #2,Streamer,saltwater;permit,hook: saltwater #2; thread: 140d tan; body: flexo tubing; legs: silicone legs tan; eyes: lead dumbbell eyes; claws: tan craft fur,https://www.saltstrong.com/articles/flexo-crab-fly-pattern/
Kreelex (silver/gold) #6,Streamer,smallmouth;trout,hook: streamer #6 3xl; thread: 140d gold; body: kreelex flash gold; eyes: dumbbell gold,https://flyfishfood.com/blogs/recipes/kreelex
Sparkle Dun (BWO) #18,Dry,trout,hook: dry #18; thread: 8/0 olive; tail: microfibetts; shuck: antron brown; body: superfine dubbing olive; wing: comparadun deer hair,https://charliesflybox.com/learn-to-fly-fish/fly-tying/sparkle-dun/
Irresistible Adams #14,Dry,trout,hook: dry #14; thread: 8/0 gray; tail: grizzly + brown hackle; body: spun deer hair (natural); hackle: grizzly + brown,https://charliesflybox.com/learn-to-fly-fish/fly-tying/irresistible-adams/
Soft Hackle (PT) #14,Wet,trout,hook: wet #14; thread: 8/0 brown; body: pheasant tail fibers; rib: fine gold wire; hackle: partridge,https://charliesflybox.com/learn-to-fly-fish/fly-tying/soft-hackle/
Clouser Minnow (gray/white) #2,Streamer/Stillwater,bass;trout;saltwater,hook: streamer #2 2xl; thread: 140d white; eyes: dumbbell nickel; belly: bucktail white; back: bucktail gray; flash: flashabou pearl,https://www.orvis.com/clouser-minnow/1P2H.html
Clouser Minnow (brown/white) #2,Streamer/Stillwater,bass;trout;saltwater,hook: streamer #2 2xl; thread: 140d white; eyes: dumbbell nickel; belly: bucktail white; back: bucktail brown; flash: flashabou pearl,https://www.orvis.com/clouser-minnow/1P2H.html
Clouser Minnow (blue/white) #2,Streamer/Stillwater,bass;trout;saltwater,hook: streamer #2 2xl; thread: 140d white; eyes: dumbbell nickel; belly: bucktail white; back: bucktail blue; flash: flashabou pearl,https://www.orvis.com/clouser-minnow/1P2H.html
Clouser Minnow (pink/white) #2,Streamer/Stillwater,bass;trout;saltwater,hook: streamer #2 2xl; thread: 140d white; eyes: dumbbell nickel; belly: bucktail white; back: bucktail pink; flash: flashabou pearl,https://www.orvis.com/clouser-minnow/1P2H.html
Clouser Minnow (tan/white) #2,Streamer/Stillwater,bass;trout;saltwater,hook: streamer #2 2xl; thread: 140d white; eyes: dumbbell nickel; belly: bucktail white; back: bucktail tan; flash: flashabou pearl,https://www.orvis.com/clouser-minnow/1P2H.html
Clouser Minnow (black/chartreuse) #2,Streamer/Stillwater,bass;trout;saltwater,hook: streamer #2 2xl; thread: 140d chartreuse; eyes: dumbbell nickel; belly: bucktail chartreuse; back: bucktail black; flash: flashabou pearl,https://www.orvis.com/clouser-minnow/1P2H.html
Zebra Midge (black/copper) #20,Nymph/Emerger,trout,hook: midge #20; bead: copper 2.0mm; thread: 8/0 black; body: thread black; rib: copper wire,https://howtoflyfish.orvis.com/patterns/midges-and-crane-flies/876-zebra-midge
Zebra Midge (olive/silver) #20,Nymph/Emerger,trout,hook: midge #20; bead: silver 2.0mm; thread: 8/0 olive; body: thread olive; rib: silver wire,https://howtoflyfish.orvis.com/patterns/midges-and-crane-flies/876-zebra-midge
Zebra Midge (brown/copper) #18,Nymph/Emerger,trout,hook: midge #18; bead: copper 2.0mm; thread: 8/0 brown; body: thread brown; rib: copper wire,https://howtoflyfish.orvis.com/patterns/midges-and-crane-flies/876-zebra-midge
Zebra Midge (red/gold) #20,Nymph/Emerger,trout,hook: midge #20; bead: gold 2.0mm; thread: 8/0 red; body: thread red; rib: gold wire,https://howtoflyfish.orvis.com/patterns/midges-and-crane-flies/876-zebra-midge
Chubby Chernobyl (brown/pink) #8,Dry/Terrestrial,trout,hook: dry #8 2xl; thread: 140d brown; body: foam brown; wing: white poly; legs: barred rubber; indicator: foam pink,https://www.umpqua.com/products/flies/dry/chubbys
Chubby Chernobyl (purple/black) #8,Dry/Terrestrial,trout,hook: dry #8 2xl; thread: 140d black; body: foam purple; wing: white poly; legs: barred rubber black; indicator: foam white,https://www.umpqua.com/products/flies/dry/chubbys
Chubby Chernobyl (tan/gold) #10,Dry/Terrestrial,trout,hook: dry #10 2xl; thread: 140d tan; body: foam tan; underbody: tinsel gold; wing: white poly; legs: barred rubber; indicator: foam orange,https://news.orvis.com/fly-fishing/techniques-and-tactics-chummy-for-chubbies
Woolly Bugger (brown) #6,Streamer,trout;bass,hook: streamer #6 3xl; bead: conehead gold 5.0mm; thread: 140d brown; tail: marabou brown; flash: crystal flash pearl; body: chenille brown; rib: wire medium gold; hackle: saddle brown,https://en.wikipedia.org/wiki/Woolly_Bugger
Woolly Bugger (purple) #6,Streamer,trout;bass,hook: streamer #6 3xl; bead: conehead black 5.0mm; thread: 140d black; tail: marabou purple; flash: crystal flash pearl; body: chenille purple; rib: wire medium silver; hackle: saddle purple,https://en.wikipedia.org/wiki/Woolly_Bugger
Woolly Bugger (black/olive) #6,Streamer,trout;bass,hook: streamer #6 3xl; bead: conehead gold 5.0mm; thread: 140d black; tail: marabou black; body: chenille olive; hackle: saddle black; flash: crystal flash pearl,https://en.wikipedia.org/wiki/Woolly_Bugger
Copper John (copper) #16,Nymph,trout,hook: nymph #16; bead: gold 2.5mm; thread: 6/0 brown; tail: goose biots brown; body: copper wire; thorax: peacock herl; wingcase: flashback; legs: hen brown,https://riverbum.com/copper-john-chartreuse-wired-bh/
Copper John (green) #16,Nymph,trout,hook: nymph #16; bead: gold 2.5mm; thread: 6/0 brown; tail: goose biots brown; body: green wire; thorax: peacock herl; wingcase: flashback; legs: hen brown,https://riverbum.com/copper-john-silver/
Copper John (black) #16,Nymph,trout,hook: nymph #16; bead: gold 2.5mm; thread: 6/0 brown; tail: goose biots brown; body: black wire; thorax: peacock herl; wingcase: flashback; legs: hen brown,https://riverbum.com/copper-john-silver/
Frenchie (olive) #16,Nymph,trout,hook: jig #16; bead: slotted tungsten 2.5mm gold; thread: 8/0 olive; tail: coq de leon; body: pheasant tail dyed olive; hot spot: orange thread; rib: copper wire,https://news.orvis.com/tag/fly-tying-videos
Frenchie (black) #16,Nymph,trout,hook: jig #16; bead: slotted tungsten 2.5mm copper; thread: 8/0 black; tail: coq de leon; body: pheasant tail dyed black; hot spot: pink thread; rib: copper wire,https://news.orvis.com/tag/fly-tying-videos
Perdigon (black) #16,Nymph,trout,hook: jig #16; bead: slotted tungsten 2.5mm silver; thread: 8/0 black; tail: coq de leon; body: resin over thread black; hot spot: orange thread,https://www.flyfishfood.com/search?type=article%2Cpage%2Cproduct&q=perdigon*
Perdigon (brown) #16,Nymph,trout,hook: jig #16; bead: slotted tungsten 2.5mm copper; thread: 8/0 brown; tail: coq de leon; body: resin over thread brown; hot spot: orange thread,https://www.flyfishfood.com/search?type=article%2Cpage%2Cproduct&q=perdigon*
Perdigon (purple) #16,Nymph,trout,hook: jig #16; bead: slotted tungsten 2.5mm black; thread: 8/0 purple; tail: coq de leon; body: resin over thread purple; hot spot: pink thread,https://www.flyfishfood.com/search?type=article%2Cpage%2Cproduct&q=perdigon*
Hare's Ear Nymph (flashback) #14,Nymph,trout,hook: nymph #14; thread: 6/0 tan; tail: hare's mask guard hairs; rib: fine wire gold; body: hare's ear dubbing; wingcase: pearl flashabou; legs: partridge,https://charliesflybox.com/learn-to-fly-fish/fly-tying/hare-s-ear-nymph/
Hare's Ear Nymph (olive) #14,Nymph,trout,hook: nymph #14; thread: 6/0 olive; tail: hare's mask guard hairs; rib: fine wire gold; body: olive hare's dubbing; wingcase: mottled turkey quill; legs: partridge,https://charliesflybox.com/learn-to-fly-fish/fly-tying/hare-s-ear-nymph/
Pheasant Tail Nymph (olive) #16,Nymph,trout,hook: nymph #16; thread: 8/0 olive; tail: pheasant tail fibers dyed olive; rib: fine copper wire; body: pheasant tail dyed olive; wingcase: pheasant tail; thorax: peacock herl,https://charliesflybox.com/learn-to-fly-fish/fly-tying/pheasant-tail-nymph/
Pheasant Tail Nymph (black) #16,Nymph,trout,hook: nymph #16; thread: 8/0 black; tail: pheasant tail dyed black; rib: fine copper wire; body: pheasant tail dyed black; wingcase: pheasant tail; thorax: peacock herl,https://charliesflybox.com/learn-to-fly-fish/fly-tying/pheasant-tail-nymph/
Flashback Pheasant Tail (beadhead) #16,Nymph,trout,hook: nymph #16; bead: gold 2.5mm; thread: 8/0 brown; tail: pheasant tail; body: pheasant tail; rib: copper wire; wingcase: pearl flashabou; thorax: peacock herl,https://charliesflybox.com/learn-to-fly-fish/fly-tying/pheasant-tail-nymph/
Prince Nymph (beadhead) #14,Nymph,trout,hook: nymph #14; bead: gold 2.5mm; thread: 6/0 black; tail: white goose biots; body: peacock herl; rib: oval gold tinsel; hackle: brown hen saddle; wing: white goose biots,https://charliesflybox.com/learn-to-fly-fish/fly-tying/prince-nymph/
Prince Nymph (green) #16,Nymph,trout,hook: nymph #16; bead: gold 2.0mm; thread: 8/0 black; tail: white goose biots; body: peacock herl; rib: oval gold tinsel; hotspot: chartreuse thread; hackle: brown hen; wing: white goose biots,https://charliesflybox.com/learn-to-fly-fish/fly-tying/prince-nymph/
San Juan Worm (pink) #12,Nymph,trout,hook: nymph #12; thread: 6/0 pink; body: ultra-chenille pink,https://howtoflyfish.orvis.com/patterns/worms/900-san-juan-worm
San Juan Worm (brown) #12,Nymph,trout,hook: nymph #12; thread: 6/0 brown; body: ultra-chenille brown,https://howtoflyfish.orvis.com/patterns/worms/900-san-juan-worm
San Juan Worm (tan) #12,Nymph,trout,hook: nymph #12; thread: 6/0 tan; body: ultra-chenille tan,https://howtoflyfish.orvis.com/patterns/worms/900-san-juan-worm
San Juan Worm (wine) #12,Nymph,trout,hook: nymph #12; thread: 6/0 wine; body: ultra-chenille wine,https://howtoflyfish.orvis.com/patterns/worms/900-san-juan-worm
The Mop Fly (white) #12,Nymph,trout;panfish,hook: jig #12; bead: slotted tungsten 3.0mm gold; body: mop material white; collar: hare's ear dubbing,https://www.flyfishfood.com/search?type=article%2Cpage%2Cproduct&q=mop%20fly*
The Mop Fly (chartreuse) #12,Nymph,trout;panfish,hook: jig #12; bead: slotted tungsten 3.0mm gold; body: mop material chartreuse; collar: hare's ear dubbing,https://www.flyfishfood.com/search?type=article%2Cpage%2Cproduct&q=mop%20fly*
The Mop Fly (pink) #12,Nymph,trout;panfish,hook: jig #12; bead: slotted tungsten 3.0mm gold; body: mop material pink; collar: hare's ear dubbing,https://www.flyfishfood.com/search?type=article%2Cpage%2Cproduct&q=mop%20fly*
Kreelex (copper) #6,Streamer,trout;smallmouth,hook: streamer #6 3xl; thread: 140d copper; body: kreelex flash copper; eyes: dumbbell gold,https://flyfishfood.com/blogs/recipes/kreelex
Kreelex (silver) #6,Streamer,trout;smallmouth,hook: streamer #6 3xl; thread: 140d white; body: kreelex flash silver; eyes: dumbbell nickel,https://flyfishfood.com/blogs/recipes/kreelex
Kreelex (pearl) #6,Streamer,trout;smallmouth,hook: streamer #6 3xl; thread: 140d white; body: kreelex flash pearl; eyes: dumbbell nickel,https://flyfishfood.com/blogs/recipes/kreelex
Balanced Leech (purple) #8,Streamer/Stillwater,trout,hook: jig #8; bead: slotted tungsten 4.0mm black; pin: sewing pin; tail: purple marabou; body: purple rabbit dubbing; rib: wire silver,https://philrowleyflyfishing.com/balanced-leech-fly-pattern/
Egg (orange) #12,Nymph,trout,hook: nymph #12; thread: 6/0 orange; body: egg yarn orange,https://howtoflyfish.orvis.com/patterns/eggs/905-glo-bug
Egg (pink) #12,Nymph,trout,hook: nymph #12; thread: 6/0 pink; body: egg yarn pink,https://howtoflyfish.orvis.com/patterns/eggs/905-glo-bug
Egg (cream) #12,Nymph,trout,hook: nymph #12; thread: 6/0 cream; body: egg yarn cream,https://howtoflyfish.orvis.com/patterns/eggs/905-glo-bug
Fat Angie #12,Dry/Terrestrial,trout,"hook: #12 Daiichi 1167; thread: Red Veevus 14/0; body: Black 3mm Fly Foam; abdomen: Mahogany Superfine Dubbing; legs: Black Super Floss; wings: Polypropylene Macramé Yarn (smoke, rust, gold mixed) + UV Blue Ripple Ice Fiber; indicator: Pink Razor Foam; hackle: Brown Rooster Neck or Saddle; thorax: Mahogany Superfine Dubbing",
Compara-dun (BWO) #18,Dry/Emerger,trout,hook: #18 Tiemco 100SP-BL; thread: Olive Semperfli 12/0 Nano Silk; tail: Gray Microfibetts; body: BWO Superfine Dubbing; wing: Compara-dun deer hair; thorax: BWO Superfine Dubbing,
Corn-fed Caddis #14,Dry/Emerger,trout,hook: #14 Tiemco 100SP-BL; thread: Rusty dun 8/0 UNI-Thread; shuck: PMD Antron; rib: Rusty dun 8/0 UNI-Thread; body: Tan Superfine Dubbing; wing: Dark dun CDC + white poly yarn; hackle: Dark dun CDC (dubbing loop),
Jigged CDC Pheasant Tail #16,Nymph,trout,"hook: #16 Umpqua C400BL; bead: 7/64"" pink tungsten; thread: Red 8/0 UNI-Thread; tail: Medium pardo coq de León; body: Natural pheasant tail; rib: Small copper UTC wire; thorax: Peacock herl; collar: Brown CDC",
Galloup's Hare's Ear #14,Nymph,trout,hook: #14 Dai-Riki 075; bead: Copper tungsten; weight:.015 lead-free wire; thread: Rusty Brown 8/0; tail: Hungarian partridge fibers; rib: Pearl Krystal Flash; body: Natural hare's mask dubbing; wingcase: Peacock herl; thorax: Natural hare's mask dubbing (spiky),
Pine Squirrel Leech #12,Streamer,trout,"hook: #12 Tiemco 2457; bead: 3/32"" copper tungsten; thread: Rusty brown 6/0 UNI-Thread; flash: Red Flashabou; tail: Rusty brown pine squirrel Zonker strip; collar: Rusty brown pine squirrel Zonker strip",
Egan's Red Dart #14,Nymph,trout,"hook: #14 Lighting Strike JF2; bead: Gold slotted tungsten 7/64""; weight:.020 lead-free wire; thread: Red 8/0; tail: Red saddle-hackle fibers; body: Peacock herl; rib: Pearl Sulky Holoshimmer; collar1: Brown saddle hackle; collar2: Pink Ice dub",
Mercury RS2 Flashback #20,Nymph/Emerger,trout,hook: #20 Tiemco 101; bead: Clear Midge Glass Bead; thread: Grey UTC 70; tail: Grey Hackle Fibers; body: Grey Superfine Dubbing; flashback: Pearl Mylar Tinsel (Small); wing: White Antron or Z-lon,
Antonio's Quill Midge #20,Dry/Emerger,trout,hook: #20 TMC 2487; thread: Olive 70-denier; body: Natural peacock quill; thorax: Natural gray SLF Squirrel Dubbing; wing: Medium dun CDC + Trigger Point EP Fibers UV orange,
White Krystal Bugger #8,Streamer,trout;bass,hook: #8 Tiemco 5263; bead: Gold bead or conehead; thread: White 6/0 UNI-Thread; tail: White marabou + Pearl Krystal Flash; rib: Small silver UTC wire; body: White Woolly Bugger chenille; hackle: White saddle hackle,
Double Barrel Popper (Chartreuse) #2,Topwater,bass;saltwater,hook: #2 Gamakatsu B10-S; head: Medium Double Barrel popper head; tail: Possum/bucktail + Ripple Ice Fiber + grizzly neck feathers; collar: Possum fur (dubbing loop); base: Ice Dubbing; eyes: Red Holographic Eyes; legs: Chicone’s Crusher Legs,
Swimmy Jimmy #1/#4,Streamer,bass,back hook: MFC 7050 #4; back body: Yellow Marabou (Palmered); back overwing: Brown Marabou; connection: 19 Strand Beadalon + red beads; front hook: Gamakatsu B10S #1 (30 Degree Bend); flash: Copper Holographic Flashabou; front body: Yellow Marabou (Palmered); front overwing: Brown Marabou; collar: Brown/Yellow Deer Belly Hair; head: Brown/Yellow Deer Belly Hair; eyes: Fish Skull 7mm Fire,
TeQueely #6,Streamer,bass;trout,"hook: #6 Daiichi 2220; bead: 7/32"" Gold Brass Bead; weight:.030 Lead Wire; thread: 3/0 Mono Orange; tail: Yellow over black over yellow Marabou; body: Large Copper Crystal Chenille + Medium Pearl Cactus Chenille (twisted); legs: Medium Yellow Rubber Legs (3 sets)",
Ehlers' Foam Tail Superworm #1/0,Streamer,bass,hook: EWG #1/0; tail: Rabbit-fur zonker strip + craft foam; body: Palmered zonker strip; flash: Flashabou; legs: Rubber strands; weight: Lead dumbbell,
Avalon Shrimp #2,Streamer/Stillwater,saltwater;permit,hook: #2 Tiemco 811S; thread: Tan 140-denier; eyes: 3mm dumbbell eyes; keel: 20-pound mono + four 2.8mm beads; mouth: Arctic fox tail (yellow/orange); antennae: Black Krystal Flash; legs: Orange Grizzly Barred rubber; shellback: Pearl Diamond Braid; body: Tan marabou; claws: Tan Zonker strips (delta wing),
Alphlexo Crab (Tan) #4,Streamer/Stillwater,saltwater;permit,hook: #4 Gamakatsu SL12s; thread: Tan 210 Denier; eyes: Lead Eyes (XS); body: Fish Skull Chocklett's Body Tubing (Tan); legs/claws: Micro Ultra Chenille (Tan); crab eyes: Hard Mono (Burned & Colored); weed guard: Hard Mono,
Veverka's Mantis Shrimp #4,Streamer/Stillwater,saltwater;bonefish,hook: #4 Saltwater hook; thread: Tan 6/0; eyes: 3.2mm black bead chain; tail: Tan craft fur; mouth: Ginger rabbit; legs: Silicone orange and brown; body: Tan Laser Dub; shrimp eyes: Epoxy mono eyes,
Crease Fly #2/0,Topwater,saltwater;bass,hook: #2/0 Tiemco 800; thread: White Flymaster Plus; tail: White Arctic Fox/Marabou; body: White Sheet Foam & Foil; eyes: Stick-On or Molded Eyes; adhesive: Epoxy,
Semper Fly (Chartreuse/White) #6/0,Streamer,saltwater;GT,hook: #6/0 Gamakatsu SL12S; thread: Veevus 240D chartreuse; tail: White bucktail + white/chartreuse schlappen + grizzly saddle hackle + white ostrich plume; flash: Chartreuse flash; body: White/chartreuse marabou (palmered),
King Lepus #3/0,Streamer,saltwater;striped bass,hook: #3/0 Mustad 34011; thread: Danville flat-waxed nylon apple green; eyes: Tungsten flat-end barbell eyes + large molded eyes; body: White rabbit strip (belly) + chartreuse rabbit strip (top); flash: Chartreuse Krystal Flash (top) + red Krystal Flash (belly),
Mad Tom #3/0,Streamer,saltwater;cobia;striped bass,"hook: #3/0 Gamakatsu SC15-2H; thread: Danville chartreuse 6/0; eyes: Medium black brass eyes; tail: Chartreuse Zonker strip; wing: Chartreuse bucktail; flash: ""Comes Alive"" flash; body: Chartreuse kip tail; belly: Red bucktail",
Borski Slider #4,Streamer,saltwater;redfish,hook: #4 Tiemco 811s; thread: Tan UTC 140; eyes: Medium Painted Lead Eyes; tail: Tan Craft Fur; flash: Pearl Krystal Flash; body: Brown Strung Hackle; head: Deer Hair,
Pop's Bonefish Bitters (Tan) #8,Nymph,saltwater;bonefish,hook: #8 saltwater; thread: tan; head: epoxy over bead chain eyes; legs: silly legs; underwing: zelon (amber); weed guard: deer hair,
Crystal Meth (Pink) #12,Nymph,salmon;steelhead,hook: #12 egg hook; thread: pink; body: Pink Estaz or Cactus Chenille,
Y2K (Pink/Orange) #12,Nymph,salmon;steelhead,hook: #12 egg hook; thread: orange; body: Pink chenille + Orange chenille (side-by-side),
March Brown (Wet) #12,Wet,trout,hook: #12 wet fly; thread: Tan; tail: Pheasant tail fibers; body: Natural hare's ear dubbing; hackle: Light brown hen; wing: Natural duck slips,
Light Cahill (Wet) #14,Wet,trout,hook: #14 2X-long nymph hook; thread: Cream 8/0; tail: Wood-duck flank fibers; body: Cream rabbit-fur dubbing; hackle: White Soft Hackle Saddle; wing: Wood-duck flank fibers,
Dark Cahill (Wet) #14,Wet,trout,hook: #14 wet fly; thread: Black 6-0; tail: Dark ginger hackle-barbs or Woodduck flank; body: Dark gray muskrat fur; hackle: Dark ginger; wing: Woodduck flank,
Blue Dun (Wet) #14,Wet,trout,hook: #14 wet fly; thread: Yellow silk; tail: Blue Dun hen saddle fibers; body: Mole dubbing; hackle: Blue Dun hen saddle,
Alder Fly (Wet) #14,Wet,trout,hook: #14 wet fly; thread: Black; hackle: Furnace hen hackle; body: Peacock herl (dubbing loop); wing: Secondary turkey tail feather,
Red Tag (Wet) #14,Wet,trout,hook: #14 wet fly; thread: Black 8/0; tag: Red Antron yarn; rib: Gold Ultra Wire (small); body: Peacock herl; collar: Brown hen hackle,
Coch-y-Bondhu (Wet) #14,Wet,trout,hook: #14 wet fly; thread: black; body: peacock herl; hackle: coch-y-bondhu (palmered),
Amano Kebari #12,Wet/Tenkara,trout,hook: #12 barbless; thread: Straw color Semperfli Pure Silk; hackle: Brown Hen hackle (reverse),
Gordon's Amber Wing Prince Nymph #16,Nymph,trout;steelhead,hook: #16 TFS 3761; bead: Copper; thread: 8/0 camel; weight:.015 Lead-Free Wire; tail: Brown Goose Biot; rib: Copper Ultra Wire; body: Peacock Herl; hackle: Brown Hen Saddle; wing: Amber Goose Biot,
Hogan's S&M Nymph (Olive) #18,Nymph,trout,hook: #18 nymph hook; bead: 2mm copper; thread: 8/0 olive brown; tail: Pheasant tail barbules; abdomen: Pheasant tail; rib: Chartreuse wire (extra small); thorax: Olive brown dubbing; wingcase: Brown goose biot; legs: Pearl crystal flash,
Upper Midwest Driftless Sculpin #6,Streamer,trout,hook: streamer #6 3xl; thread: 140d olive; tail: olive marabou; body: olive rabbit strip; collar: olive schlappen; head: sculpin helmet olive,
Wisconsin Spring Creek Cress Bug #16,Nymph,trout,hook: scud #16; thread: 8/0 olive; body: olive dubbing; rib: copper wire; shellback: thin skin clear; legs: partridge,
Michigan Hex Nymph #8,Nymph,trout,hook: nymph #8 3xl; thread: 6/0 tan; tail: tan marabou; body: tan dubbing; rib: gold wire; wingcase: tan goose biots; legs: partridge,
Au Sable River Drake #10,Dry,trout,hook: dry #10; thread: 6/0 brown; tail: moose body hair; body: tan dubbing; wing: wood duck flank; hackle: ginger,
Jordan River Caddis #14,Dry,trout,hook: dry #14; thread: 8/0 tan; body: tan dubbing; wing: elk hair; hackle: brown,
Current River Stone #10,Nymph,trout,hook: nymph #10 2xl; thread: 6/0 black; tail: black goose biots; body: black dubbing; rib: copper wire; wingcase: thin skin black; legs: black rubber legs,
Taneycomo Micro Midge #22,Nymph,trout,hook: midge #22; thread: 8/0 black; body: black thread; rib: silver wire; thorax: peacock herl,
Ozark Emerger #16,Dry/Emerger,trout,hook: dry #16; thread: 8/0 gray; shuck: zelon amber; body: gray dubbing; wing: CDC gray; hackle: grizzly,
White River Worm #10,Nymph,trout,hook: nymph #10; thread: 6/0 red; body: ultra-chenille hot pink; collar: black dubbing,
Mountain Fork Stonefly #8,Nymph,trout,hook: nymph #8 2xl; bead: tungsten gold 4.0mm; thread: 140d brown; tail: brown goose biots; body: brown dubbing; rib: copper wire; wingcase: turkey mottled; legs: brown rubber legs,
Montana Hopper #8,Dry/Terrestrial,trout,hook: dry #8 2xl; thread: 140d tan; body: tan foam; wing: elk hair; legs: barred rubber; indicator: orange foam,
Yellowstone PMD #16,Dry,trout,hook: dry #16; thread: 8/0 yellow; tail: microfibetts; body: pale yellow dubbing; wing: comparadun deer hair; hackle: light dun,
Snake River Sculpin #4,Streamer,trout,hook: streamer #4 3xl; thread: 140d olive; tail: olive rabbit strip; body: olive chenille; head: conehead brass; hackle: grizzly,
Colorado Green Drake #12,Dry,trout,hook: dry #12; thread: 8/0 olive; tail: moose body hair; body: olive dubbing; wing: mallard flank; hackle: grizzly/brown mixed,
Madison Double Bunny #2,Streamer,trout,hook: articulated shank; hook: streamer #2; thread: 140d olive; tail: olive rabbit strip; body: olive rabbit strip; head: conehead brass,
